movie_id,movie_name,year,cast
tt15354916,Jawan,2023,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone"
tt15748830,Jaane Jaan,2023,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva"
tt11663228,Jailer,2023,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff"
tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi"
tt15732324,OMG 2,2023,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra"
tt18266472,Sukhee,2023,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila"
tt18561736,The Great Indian Family,2023,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit"
tt3691740,The BFG,2016,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement"
tt12844910,Pathaan,2023,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia"
tt15464390,Mastaney,2023,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol"
tt1187043,3 Idiots,2009,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
tt14914988,Satyaprem Ki Katha,2023,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao"
tt3741834,Lion,2016,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
tt13131610,Bholaa Shankar,2023,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu"
tt22188452,Haddi,2023,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba"
tt28568397,Friday Night Plan,2023,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand"
tt21908676,Neeyat,2023,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi"
tt15441054,Gadar 2,2023,"Sunny Deol, Amrish Puri, Nana Patekar, Ameesha Patel"
tt27542289,Por Thozhil,2023,"R. Sarathkumar, Ashok Selvan, Nikhila Vimal, Sarath Babu"
tt0454876,Life of Pi,2012,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
tt0249371,Asoka,2001,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Hrishitaa Bhatt"
tt0838221,The Darjeeling Limited,2007,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan"
tt5074352,Dangal,2016,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
tt8239946,Tumbbad,2018,"Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty"
